Timestamp,Input,Mood,Confidence
2025-01-19 11:36:41,stressed,Neutral,0.0
2025-01-19 11:36:57,happy,Very Happy,0.8
2025-01-19 11:37:34,sad,Sad,0.5
2025-01-19 11:37:55,stress,Neutral,0.0
2025-01-19 11:37:59,stress,Neutral,0.0
2025-01-19 11:38:27,netural,Neutral,0.0
2025-01-19 11:38:46,normal,Happy,0.15
2025-01-19 11:39:08,normal,Happy,0.15
2025-01-19 11:39:15,angry,Sad,0.5
2025-01-19 11:39:38,angry,Sad,0.5
2025-01-19 11:43:34,Very Happy,Very Happy,1.0
2025-01-19 11:43:57,Very Happy,Very Happy,1.0
2025-01-19 11:44:43,Happy,Very Happy,0.8
2025-01-19 11:44:48,Sad,Sad,0.5
2025-01-19 11:44:55,Very Sad,Very Sad,0.65
2025-01-19 11:45:19,Very Sad,Very Sad,0.65
2025-01-20 17:15:47,I am feeling sad today,Sad,0.5
2025-01-20 17:15:53,I am feeling sad today,Sad,0.5
2025-01-20 17:16:20,I am happy ,Very Happy,0.8
2025-01-20 17:16:30,I am happy ,Very Happy,0.8
2025-01-20 17:16:48,I am unhappy,Very Sad,0.6
2025-01-20 17:16:50,I am unhappy,Very Sad,0.6
2025-01-20 17:16:58,I am distress,Neutral,0.0
2025-01-20 17:17:00,I am distress,Neutral,0.0
2025-01-20 17:17:14,I am happy,Very Happy,0.8
2025-01-20 17:17:15,I am happy,Very Happy,0.8
